"id","condition","sender","sender_id","counter_learning_veggie","counter_learning_fruit","response","button1","button2","response_action","feedback_fruit","feedback_veggie","button_not_chosen","button_chosen","drawn_fruit","drawn_veggie"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_3",20,NA,"button2","carrot.svg","tomato.svg","keypress(l,L)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_4",21,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_5",22,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_6",23,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_7",24,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_8",25,NA,"button1","tomato.svg","carrot.svg","keypress(s,S)",NA,TRUE,"carrot.svg","tomato.svg",NA,"tomato.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_9",26,NA,"button2","carrot.svg","tomato.svg","keypress(l,L)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_10",27,NA,"button1","tomato.svg","carrot.svg","keypress(s,S)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_7_11",28,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Loop_EFGH2",NA,NA,NA,"Continue",NA,NA,"keypress(Enter)",NA,NA,NA,NA,NA,NA
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_0",29,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,FALSE,"raddish.svg","broccoli.svg",NA,"raddish.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_1",30,NA,"button2","carrot.svg","tomato.svg","keypress(l,L)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_2",31,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_3",32,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_4",33,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_5",34,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_6",35,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_7",36,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_8",37,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_9",38,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_10",39,NA,"button1","tomato.svg","carrot.svg","keypress(s,S)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"fho2tigx1v","A","Sequence_risky_choice_EFGH","7_0_3_0_9_11",40,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"fho2tigx1v","A","Loop_EFGH3",NA,NA,NA,"Continue",NA,NA,"keypress(Enter)",NA,NA,NA,NA,NA,NA
